Date,Time,TimeStamp,Total_load,LFS,LFW,Load_res
2017-01-04,06:59:59,,11.02174,0,0.531470083,1816.0128
2017-01-04,07:59:59,,11.7653175,1.69E-06,0.531383388,2308.56864
2017-01-04,08:59:59,,12.0699925,0.007888329,0.546104869,2519.31288
2017-01-04,09:59:59,,12.2888,0.040568549,0.572454881,2599.8
2017-01-04,10:59:59,,12.4496875,0.090976978,0.558360659,2799.64272
2017-01-04,11:59:59,,12.2873975,0.129759921,0.594124667,2840.94552
2017-01-04,12:59:59,,11.9788,0.146852288,0.589843491,2629.20672
2017-01-04,13:59:59,,11.833275,0.109381667,0.627190947,2513.88144
2017-01-04,14:59:59,,11.764635,0.056556025,0.63300075,2571.19464
2017-01-04,15:59:59,,11.8045,0.008731602,0.604878602,2721.06072
2017-01-04,16:59:59,,12.438195,0,0.566794244,3324.45456
2017-01-04,17:59:59,,12.63993,0,0.580073792,3503.60136
2017-01-04,18:59:59,,12.2126,0,0.563402961,3374.62608
2017-01-04,19:59:59,,11.6243325,0,0.551694111,3149.92776
2017-01-04,20:59:59,,11.1965125,0,0.520860213,2922.69768
2017-01-04,21:59:59,,11.424585,0,0.459252337,2665.40232
2017-01-04,22:59:59,,11.33671,0,0.413988913,2165.17896
2017-01-05,00:00:00,,10.81127,0,0.443748055,1735.55088
2017-01-05,00:59:59,,10.32612,0,0.436491221,1445.78448
2017-01-05,01:59:59,,9.905335,0,0.439491104,1301.09112
2017-01-05,02:59:59,,9.6596125,0,0.451611752,1190.85624
2017-01-05,03:59:59,,9.6064275,0,0.445068871,1182.90312
2017-01-05,04:59:59,,9.999535,0,0.447867317,1216.18224
2017-01-05,05:59:59,,10.72801,0,0.419219903,1455.04296
2017-01-05,06:59:59,,11.358795,0,0.36864517,1832.03832
2017-01-05,07:59:59,,12.048375,2.79E-05,0.335650285,2294.74392
2017-01-05,08:59:59,,12.3140025,0.035495364,0.20569659,2481.4524
2017-01-05,09:59:59,,12.2569575,0.117451182,0.167570159,2546.53896
2017-01-05,10:59:59,,12.405695,0.226092868,0.073560235,2731.596
2017-01-05,11:59:59,,12.24019,0.286628195,0.111573198,2737.00392
2017-01-05,12:59:59,,12.04805,0.261897263,0.087196761,2535.16872
2017-01-05,13:59:59,,11.88089,0.166024052,0.080727826,2420.71368
2017-01-05,14:59:59,,12.0734275,0.078978116,0.099550719,2477.39352
2017-01-05,15:59:59,,12.1831375,0.013105446,0.094430647,2655.78768
2017-01-05,16:59:59,,12.93818,0,0.11536863,3283.10304
2017-01-05,17:59:59,,13.0502175,0,0.13478691,3462.33384
2017-01-05,18:59:59,,12.582685,0,0.126034596,3334.76808
2017-01-05,19:59:59,,12.0750025,0,0.120101127,3115.24248
2017-01-05,20:59:59,,11.57415,0,0.118455207,2876.9916
2017-01-05,21:59:59,,11.881085,0,0.099089198,2644.8324
2017-01-05,22:59:59,,11.8714975,0,0.09673315,2165.43936
2017-01-06,00:00:00,,11.4071725,0,0.115522895,1736.31192
2017-01-06,00:59:59,,11.0029825,0,0.126540739,1448.5296
2017-01-06,01:59:59,,10.5934825,0,0.117927391,1302.78288
2017-01-06,02:59:59,,10.331135,0,0.104591746,1191.97344
2017-01-06,03:59:59,,10.3309525,0,0.08877511,1184.316
2017-01-06,04:59:59,,10.61116,0,0.0741008,1213.81512
2017-01-06,05:59:59,,11.370685,0,0.075323447,1443.45096
2017-01-06,06:59:59,,11.96174,0,0.078291457,1826.91768
2017-01-06,07:59:59,,12.68217,0.000284478,0.096566135,2315.54904
2017-01-06,08:59:59,,12.871485,0.039666856,0.096437368,2530.72176
2017-01-06,09:59:59,,12.78544,0.124015334,0.10358966,2589.9048
2017-01-06,10:59:59,,12.77618,0.236731995,0.113902474,2756.42808
2017-01-06,11:59:59,,12.5906725,0.297131009,0.115466799,2772.14112
2017-01-06,12:59:59,,12.3995925,0.287523114,0.105138686,2584.7052
2017-01-06,13:59:59,,12.1432475,0.197567208,0.090152021,2480.91816
2017-01-06,14:59:59,,12.2350975,0.09800002,0.101419749,2534.07168
2017-01-06,15:59:59,,12.284735,0.019321622,0.112614807,2674.2576
2017-01-06,16:59:59,,13.0398825,0,0.172849596,3251.40312
