T,P,DOY,W,Load,LFW,LFS,N,Y
20,4,57,12.0,10.3986475,0.605039993,0.0,1,1
21,4,57,12.0,10.0646375,0.636943021,0.0,1,1
22,4,57,12.0,9.7158725,0.624030562,0.0,1,1
23,4,57,12.0,9.8203075,0.62882947,0.0,1,1
24,4,57,12.0,9.8567575,0.632018254,0.0,1,1
1,5,58,7.0,9.252785,0.599998047,0.0,1,1
2,5,58,7.0,8.82434,0.630673952,0.0,1,1
3,5,58,7.0,8.4468825,0.594008906,0.0,1,1
4,5,58,7.0,8.2063975,0.602615042,0.0,1,1
5,5,58,7.0,8.4266125,0.654723827,0.0,1,1
6,5,58,7.0,9.010835,0.719403299,0.0,1,1
7,5,58,7.0,10.03391,0.71523043,0.0,1,1
8,5,58,7.0,10.645805,0.7371917,0.000824647,1,1
9,5,58,7.0,11.106905,0.736237995,0.032474482,1,1
10,5,58,7.0,11.40379,0.73061992,0.081363156,1,1
11,5,58,7.0,11.541545,0.759617346,0.09967302,1,1
12,5,58,7.0,11.76636,0.76482638,0.087344807,1,1
13,5,58,7.0,11.6746225,0.773897976,0.083823549,1,1
14,5,58,7.0,11.81015,0.780654205,0.100042164,1,1
15,5,58,7.0,11.6063975,0.770184058,0.070608884,1,1
16,5,58,7.0,11.61123,0.776509546,0.053593563,1,1
17,5,58,7.0,11.3160825,0.733693695,0.04291549,1,1
18,5,58,7.0,11.2805925,0.728877427,0.015868097,1,1
19,5,58,7.0,11.7188475,0.75413598,0.000490216,1,1
20,5,58,7.0,11.61852,0.768718237,0.0,1,1
21,5,58,7.0,11.087055,0.751264013,0.0,1,1
22,5,58,7.0,10.492455,0.761800345,0.0,1,1
23,5,58,7.0,10.677795,0.741000013,0.0,1,1
24,5,58,7.0,10.5598775,0.688208769,0.0,1,1
1,6,82,5.0,9.727465,0.206325385,0.0,1,1
2,6,82,5.0,9.26559,0.188726109,0.0,1,1
3,6,82,5.0,8.9212825,0.180898266,0.0,1,1
4,6,82,5.0,8.9882625,0.173334631,0.0,1,1
5,6,82,5.0,9.0887725,0.180582714,0.0,1,1
6,6,82,5.0,9.54715,0.199046283,0.0,1,1
7,6,82,5.0,10.562895,0.196055486,0.002092096,1,1
8,6,82,5.0,11.2422075,0.216475481,0.071168526,1,1
9,6,82,5.0,11.512325,0.212792608,0.21808516,1,1
10,6,82,5.0,11.58252,0.181669498,0.397229052,1,1
11,6,82,5.0,11.42234,0.208829482,0.532478715,1,1
12,6,82,5.0,11.436655,0.247468092,0.640054457,1,1
13,6,82,5.0,11.15382,0.284263661,0.653376648,1,1
14,6,82,5.0,11.274685,0.362680079,0.558552449,1,1
15,6,82,5.0,11.05511,0.394300586,0.468654116,1,1
16,6,82,5.0,10.832385,0.423433041,0.456749233,1,1
17,6,82,5.0,10.6632275,0.452787987,0.305028651,1,1
18,6,82,5.0,10.741285,0.450302075,0.130960485,1,1
19,6,82,5.0,11.00071,0.455222555,0.019090484,1,1
20,6,82,5.0,11.4867225,0.541376965,5.08e-6,1,1
21,6,82,5.0,11.207915,0.606281315,0.0,1,1
22,6,82,5.0,10.57599,0.609914983,0.0,1,1
23,6,82,5.0,10.4854775,0.582689749,0.0,1,1
24,6,82,5.0,10.4103875,0.528653243,0.0,1,1
1,7,91,11.0,9.1019575,0.130385252,0.0,1,1
2,7,91,11.0,8.5765625,0.175446159,0.0,1,1
3,7,91,11.0,8.11161,0.193396287,0.0,1,1
4,7,91,11.0,7.9681,0.199797191,0.0,1,1
5,7,91,11.0,7.9378775,0.143349649,0.0,1,1
6,7,91,11.0,8.066655,0.111086271,0.0,1,1
7,7,91,11.0,8.46953,0.11021556,0.001800845,1,1
8,7,91,11.0,8.7243625,0.124649683,0.026398851,1,1
9,7,91,11.0,9.292815,0.098735864,0.071312458,1,1
10,7,91,11.0,9.9030275,0.085900897,0.149575146,1,1
11,7,91,11.0,10.109405,0.097244745,0.249681656,1,1
12,7,91,11.0,10.3295075,0.088372904,0.329763816,1,1
13,7,91,11.0,10.16929,0.079773829,0.314969283,1,1
14,7,91,11.0,9.9367875,0.069455795,0.248967922,1,1
15,7,91,11.0,9.71283,0.065446673,0.179315764,1,1
16,7,91,11.0,9.51333,0.069744606,0.129009781,1,1
17,7,91,11.0,9.4978375,0.077653744,0.089667195,1,1
18,7,91,11.0,9.6802375,0.099968124,0.073771158,1,1
19,7,91,11.0,9.73114,0.112086412,0.027268371,1,1
20,7,91,11.0,9.535375,0.12767364,0.00081364,1,1
21,7,91,11.0,9.64308,0.138921217,0.0,1,1
22,7,91,11.0,9.4843175,0.165969955,0.0,1,1
23,7,91,11.0,9.3269625,0.171954757,0.0,1,1
24,7,91,11.0,9.1390775,0.153245164,0.0,1,1
1,8,94,14.0,9.2922675,0.057319322,0.0,1,1
2,8,94,14.0,8.7398925,0.053434282,0.0,1,1
3,8,94,14.0,8.4340475,0.050791128,0.0,1,1
4,8,94,14.0,8.38594,0.043797627,0.0,1,1
5,8,94,14.0,8.56899,0.042187774,0.0,1,1
6,8,94,14.0,9.1633175,0.057471215,0.0,1,1
7,8,94,14.0,10.04265,0.056790905,0.01383696,1,1
8,8,94,14.0,10.568165,0.043863947,0.116569809,1,1
9,8,94,14.0,10.9983875,0.042998584,0.260135364,1,1
10,8,94,14.0,11.1806325,0.035551544,0.407061312,1,1
11,8,94,14.0,11.2446775,0.035072331,0.521009015,1,1
12,8,94,14.0,11.34294,0.029711147,0.538510319,1,1
13,8,94,14.0,11.0335125,0.033323421,0.508319279,1,1
14,8,94,14.0,10.9507975,0.037360355,0.479436328,1,1
15,8,94,14.0,10.752725,0.048656067,0.446309918,1,1
16,8,94,14.0,10.7037725,0.064719297,0.377749951,1,1
17,8,94,14.0,10.5072225,0.073655318,0.250186265,1,1
18,8,94,14.0,10.50481,0.071322368,0.139664994,1,1
19,8,94,14.0,10.592355,0.074354882,0.040797147,1,1
20,8,94,14.0,10.4431925,0.121367937,0.001185324,1,1
21,8,94,14.0,10.47123,0.155326741,0.0,1,1
22,8,94,14.0,10.3245475,0.178633775,0.0,1,1
23,8,94,14.0,10.2444325,0.172571957,0.0,1,1
24,8,94,14.0,9.873735,0.16488531,0.0,1,1
1,9,126,6.0,8.86877,0.326086315,0.0,1,1
2,9,126,6.0,8.4188675,0.31151563,0.0,1,1
3,9,126,6.0,7.9879,0.323992583,0.0,1,1
4,9,126,6.0,7.7944425,0.302885447,0.0,1,1
5,9,126,6.0,7.7785975,0.290873651,0.0,1,1
6,9,126,6.0,7.9764175,0.291550817,0.009349664,1,1
7,9,126,6.0,8.1063425,0.271189408,0.065137769,1,1
8,9,126,6.0,8.42489,0.230347401,0.189815191,1,1
9,9,126,6.0,8.9773775,0.20688284,0.398921525,1,1
10,9,126,6.0,9.3941825,0.196857188,0.583205488,1,1
11,9,126,6.0,9.495115,0.193666488,0.693386402,1,1
12,9,126,6.0,9.4686325,0.210075649,0.747299155,1,1
13,9,126,6.0,9.34215,0.268471249,0.750163406,1,1
14,9,126,6.0,9.092695,0.311028323,0.701328917,1,1
15,9,126,6.0,8.838175,0.348643768,0.582613673,1,1
16,9,126,6.0,8.8677675,0.397216234,0.401740055,1,1
17,9,126,6.0,8.8827925,0.392586819,0.273394903,1,1
18,9,126,6.0,9.05252,0.354148648,0.15483629,1,1
19,9,126,6.0,9.185595,0.307986347,0.064769472,1,1
20,9,126,6.0,9.0395625,0.304043592,0.013546556,1,1
21,9,126,6.0,8.87988,0.308830169,0.000129539,1,1
22,9,126,6.0,8.9369525,0.302016311,0.0,1,1
23,9,126,6.0,9.040355,0.280085395,0.0,1,1
24,9,126,6.0,8.870225,0.236169768,0.0,1,1
1,10,132,15.0,8.6653275,0.218815528,0.0,1,1
2,10,132,15.0,8.266365,0.152893042,0.0,1,1
3,10,132,15.0,7.93018,0.117357616,0.0,1,1
4,10,132,15.0,7.8604525,0.156517254,0.0,1,1
5,10,132,15.0,7.9399675,0.180474397,0.0,1,1
6,10,132,15.0,8.3523425,0.187770287,0.004493223,1,1
7,10,132,15.0,9.1553475,0.17297388,0.045135432,1,1
8,10,132,15.0,10.16024,0.158084652,0.134541009,1,1
9,10,132,15.0,10.62224,0.172782965,0.251200564,1,1
10,10,132,15.0,10.8039625,0.198800086,0.382260954,1,1
11,10,132,15.0,10.759155,0.193493505,0.48974695,1,1
12,10,132,15.0,10.891625,0.144656291,0.573346135,1,1
13,10,132,15.0,10.6552825,0.140399212,0.559446522,1,1
14,10,132,15.0,10.54479,0.113484476,0.453580186,1,1
15,10,132,15.0,10.4442525,0.103152938,0.427375219,1,1
16,10,132,15.0,10.406085,0.133389166,0.342895509,1,1
17,10,132,15.0,10.394825,0.227103963,0.216649226,1,1
18,10,132,15.0,10.560205,0.187598358,0.101132661,1,1
19,10,132,15.0,10.3626725,0.12489294,0.054499489,1,1
20,10,132,15.0,10.0057775,0.143592021,0.023847865,1,1
21,10,132,15.0,9.6761475,0.15150601,0.000584195,1,1
22,10,132,15.0,9.4714825,0.180001856,0.0,1,1
23,10,132,15.0,9.65858,0.217232308,0.0,1,1
24,10,132,15.0,9.3269275,0.274227165,0.0,1,1
1,11,140,19.0,8.68476,0.154778896,0.0,1,1
2,11,140,19.0,8.3254725,0.201765793,0.0,1,1
3,11,140,19.0,7.875925,0.213189246,0.0,1,1
4,11,140,19.0,7.80293,0.185713038,0.0,1,1
5,11,140,19.0,7.7450225,0.162851567,0.0,1,1
6,11,140,19.0,7.663955,0.155092024,0.01883818,1,1
7,11,140,19.0,7.755355,0.140011942,0.081516401,1,1
8,11,140,19.0,8.3254475,0.139052793,0.203559019,1,1
9,11,140,19.0,9.03405,0.154437681,0.305694972,1,1
10,11,140,19.0,9.401055,0.174368647,0.382446373,1,1
11,11,140,19.0,9.55608,0.186045931,0.420572308,1,1
12,11,140,19.0,9.6876275,0.175578507,0.47309908,1,1
13,11,140,19.0,9.6199475,0.15994811,0.496356823,1,1
14,11,140,19.0,9.405025,0.169389806,0.478692961,1,1
15,11,140,19.0,9.11185,0.134664839,0.487023246,1,1
